prog,pca_category,duration_scaled,frequency_change_scaled,direction_scaled
1,B,0.259423117,6650.697935,159.5756463
2,A,0.538086252,8056.128443,-1116.756199
3,B,0.238914524,5195.07348,-888.0777047
4,C,0.196628767,8256.904228,1139.670259
5,B,0.249485963,8507.873963,289.5642459
6,B,0.256780256,6725.988855,-830.2819359
7,B,0.185423042,4893.909802,-812.7077594
8,B,0.276971706,7579.285949,72.13241149
9,B,0.29515458,8457.680016,144.6329473
10,B,0.568214853,7830.255683,1062.013451
11,B,0.251335965,7077.346483,-304.6436848
12,B,0.426187569,8758.843695,1407.412334
13,C,0.27861028,4868.812828,659.6350541
14,A,0.26217169,6575.407014,-1305.88591
15,A,0.234685949,6198.952415,-1332.295248
16,A,0.249380249,4693.134014,-1526.771282
17,B,0.215657359,5697.012949,-252.9845427
18,B,0.317143175,7704.770816,86.28537114
19,B,0.196628767,6675.794909,-334.0051392
20,C,0.308686023,7629.479895,1044.522279
21,B,0.215657359,7403.607135,-250.9693636
22,C,0.156457298,6751.085828,925.3525072
23,B,0.314236028,7478.898056,-311.035314
24,C,0.250384536,6048.370576,1168.458114
25,C,0.251335965,5370.752294,1603.078977
26,B,0.177600177,5947.982681,-917.2153587
27,B,0.242984529,5044.491641,-258.4046282
28,C,0.22411451,8633.35883,592.298073
29,B,0.300228872,5420.946242,-479.2266548
30,B,0.254507396,6224.049389,-112.1018254
31,C,0.183943042,7077.346483,597.1191529
32,C,0.235003093,7704.770816,858.8242762
33,B,0.273165988,6525.213068,191.7012631
34,C,0.162007305,4868.812828,192.9876403
35,C,0.317407459,3588.867186,591.4861359
36,C,0.207411636,7478.898056,1162.197093
37,C,0.224008795,3789.642974,1294.619365
38,C,0.275755991,5270.364401,842.8182128
39,A,0.327714613,7328.316214,-1056.363733
40,C,0.192400193,4366.873361,1435.306767
41,B,0.161055876,5245.267429,-505.6171599
42,C,0.233258804,4718.230988,1613.955143
43,C,0.213067357,5571.528082,1589.888314
44,C,0.2442531,4592.746121,110.6312295
45,C,0.180718753,7478.898056,1854.599305
46,C,0.206618779,6274.243336,939.8554345
47,C,0.21243307,4793.521907,1372.113853
48,C,0.198743056,4467.261254,473.2569723
49,C,0.226228797,3061.830748,846.4133683
50,A,0.283314569,5220.170455,-1064.373841
51,C,0.218511648,8156.516336,803.342348
52,A,0.540834828,9210.589214,-1481.545291
53,A,0.332947476,8407.486068,-500.1144935
54,C,0.223955939,7127.540429,1566.103848
55,C,0.224008795,6951.861615,1375.055064
56,C,0.202971632,7328.316214,1129.514648
57,C,0.267668839,3764.546,817.4586214
58,A,0.327344613,9009.813429,-902.3070967
59,C,0.225171653,6725.988855,1240.522553
60,C,0.211428783,3965.321788,1774.272657
61,B,0.398807541,4065.709681,-504.6965256
62,C,0.213067357,6751.085828,1438.342814
63,B,0.274117417,4115.903627,-87.98532814
64,B,0.207623065,4040.612709,-972.0330897
65,C,0.224008795,4793.521907,545.0792277
66,B,0.2431431,6926.764641,71.68009818
67,C,0.147471576,5596.625054,-74.01534562
68,C,0.232254517,4191.194548,1995.675983
69,C,0.234685949,6725.988855,939.1749555
70,B,0.161373019,8282.001203,-38.7414221
71,B,0.19451448,5596.625054,-313.5451028
72,C,0.22110165,8081.225415,1869.274224
73,C,0.233998807,8859.23159,1238.094775
74,C,0.174851604,7002.055562,1545.297354
75,C,0.196681625,9336.074082,582.0404331
76,C,0.169354455,8432.583042,1046.312532
77,C,0.159523016,7002.055562,1148.738573
78,C,0.215604501,8708.649748,1152.983259
79,C,0.211111639,5119.782562,1684.446583
80,C,0.202125916,5722.109921,1407.246066
81,C,0.202125916,8507.873963,1088.511089
82,C,0.142080142,5094.685587,598.4792872
83,C,0.234950235,6926.764641,1877.914424
84,C,0.167451597,6851.473723,1583.952833
85,C,0.164015879,6600.503988,163.0126085
86,C,0.178921608,8282.001203,967.0560282
87,C,0.202813061,4216.291522,1334.264408
88,C,0.217771646,5395.849268,1187.203147
89,C,0.136582993,7704.770816,674.7920408
90,C,0.229294515,6700.891881,288.1786625
91,C,0.209367352,6249.146361,1531.781791
92,C,0.190233047,4166.097573,1499.148918
93,C,0.191184478,6299.340308,921.3537072
94,C,0.228343086,4868.812828,1193.868687
95,C,0.196628767,5571.528082,1879.290422
96,C,0.081135795,3714.352054,-7.88679562
97,C,0.191237333,8809.037641,949.3568576
98,C,0.191184478,1756.788134,1350.905286
99,C,0.163857308,7503.995028,1123.511229
100,C,0.220203077,4994.297695,896.9214967
101,C,0.162007305,6299.340308,826.3363939
102,C,0.186797329,6851.473723,1565.762934
103,C,0.221630221,4492.358228,1072.13516
104,B,0.289604576,5646.819002,323.4392786
105,C,0.180295895,5195.07348,347.5819762
106,C,0.196681625,8031.031469,1926.403293
107,C,0.232518804,4919.006774,1570.65662
108,C,0.207570207,4793.521907,1266.851991
109,C,0.180718753,6123.661494,2095.83209
110,C,0.169407312,5144.879534,1333.276722
111,B,0.158413016,7654.576869,-512.0128305
112,C,0.191184478,8959.619483,1135.516481
113,C,0.240394527,5270.364401,1341.424837
114,C,0.191237333,5973.079655,1626.047838
115,C,0.185740186,7177.734375,1749.184766
116,C,0.191184478,5646.819002,1264.923781
117,C,0.224008795,7478.898056,462.820393
118,B,0.158413016,8156.516336,-578.9595604
119,C,0.213067357,5220.170455,1430.753693
